iter	MultiLogloss
337	0.3356424173
338	0.3353819718
339	0.3351629741
340	0.3349454339
341	0.3346869943
342	0.334449096
343	0.3341994621
344	0.33394953
345	0.3337124909
346	0.3334554996
347	0.3331838789
348	0.3329530715
349	0.3327351074
350	0.3325135466
351	0.3322365798
352	0.3319910266
353	0.3317506032
354	0.3315799546
355	0.3313820761
356	0.3311604242
357	0.3309320332
358	0.3307229239
359	0.3305080296
360	0.33029457
361	0.3300142978
362	0.3297767709
363	0.3295309053
364	0.3293561189
365	0.329176904
366	0.3289715675
367	0.3287462194
368	0.3285566497
369	0.3283269016
370	0.3281316312
371	0.3278859714
372	0.3277088892
373	0.3275462302
374	0.3273072985
375	0.3271059079
376	0.3269076164
377	0.3267225948
378	0.326482283
379	0.3262979539
380	0.3261153361
381	0.3259112653
382	0.3256851222
383	0.3254713184
384	0.3252969322
385	0.3250668662
386	0.3248749785
387	0.3246625915
388	0.3244531335
389	0.3242510131
390	0.3240275225
391	0.3238370667
392	0.3236754977
393	0.3235064945
394	0.323287205
395	0.3230625184
396	0.3228448654
397	0.3225647349
398	0.322388116
399	0.3221955304
400	0.3219645558
401	0.3217846666
402	0.321610064
403	0.3214276805
404	0.3212512032
405	0.3211089197
406	0.3209218322
407	0.3207461759
408	0.3206087553
409	0.3203449583
410	0.3201582311
411	0.3199778639
412	0.3198394471
413	0.3196609297
414	0.3195001925
415	0.3193085641
416	0.3191569965
417	0.3189414845
418	0.3187949363
419	0.318587176
420	0.318367527
421	0.3182031506
422	0.3180363956
423	0.3178674139
424	0.3176494263
425	0.3174949328
426	0.3172888439
427	0.3170939037
428	0.316907049
429	0.3167714738
430	0.3166090296
431	0.3164219673
432	0.3162113725
433	0.3160148788
434	0.3158299161
435	0.315637192
436	0.3154719593
437	0.3153539283
438	0.3151696822
439	0.3150125924
440	0.3148555191
441	0.3147119367
442	0.3145450379
443	0.3144013636
444	0.314281593
445	0.3141456636
446	0.3139706742
447	0.3138309942
448	0.3136440497
449	0.3134822081
450	0.3133427266
451	0.3131614994
452	0.3129358135
453	0.3127946641
454	0.3126473089
455	0.3124892682
456	0.3123291407
457	0.3121396442
458	0.3120083415
459	0.311880552
460	0.3117351635
461	0.3115652678
462	0.3114164662
463	0.3112087682
464	0.3110300582
465	0.3108713664
466	0.310711315
467	0.3105752541
468	0.3104444977
469	0.3103553849
470	0.31022952
471	0.3100958488
472	0.309899249
473	0.3097825026
474	0.3096619486
475	0.3094807957
476	0.3093224198
477	0.3091788475
478	0.3090522921
479	0.3089331838
480	0.3087228269
481	0.3085598375
482	0.308412566
483	0.3082523789
484	0.3080990623
485	0.3080071378
486	0.307885368
487	0.3077436678
488	0.3075782862
489	0.30744579
490	0.307314459
491	0.3071677743
492	0.3070513451
493	0.3068925917
494	0.3067600295
495	0.3066345202
496	0.306494423
497	0.3064032502
498	0.3062003158
499	0.3060370884
500	0.3058886264
501	0.3057579086
502	0.3056111682
503	0.3054889024
504	0.3053061306
505	0.305203095
506	0.3050670036
507	0.3049460965
508	0.3048605527
509	0.3047503399
510	0.3046473
511	0.304573458
512	0.3044513688
513	0.3043433915
514	0.3042619287
515	0.3041531612
516	0.3039756114
517	0.3037939606
518	0.3036274879
519	0.3034613525
520	0.3033096682
521	0.3032142801
522	0.3030930966
523	0.3029928975
524	0.3028889855
525	0.3027289055
526	0.3026022599
527	0.3024581345
528	0.3023336455
529	0.3021989679
530	0.3021074126
531	0.3019840405
532	0.3018432014
533	0.3017219327
534	0.3016334341
535	0.3014830653
536	0.3013954743
537	0.3012706322
538	0.3011154996
539	0.3009921605
540	0.3008275684
541	0.3007167735
542	0.3006162586
543	0.3004990873
544	0.3003690693
545	0.3002359284
546	0.3000944749
547	0.3000262983
548	0.2999069066
549	0.2998016066
550	0.2996525677
551	0.2995501002
552	0.2994515512
553	0.2993261922
554	0.29923033
555	0.2991226251
556	0.2989974029
557	0.2989240259
558	0.2987413212
559	0.2986367363
560	0.2985288233
561	0.2984181947
562	0.2983224723
563	0.2982218067
564	0.2980946162
565	0.2980117228
566	0.297899658
567	0.2977693675
568	0.2976519266
569	0.2974904128
570	0.297392666
571	0.2972783543
572	0.2971898983
573	0.2970895378
574	0.2969581123
575	0.2968642267
576	0.2967390642
577	0.2966668758
578	0.2965607108
579	0.2964864133
580	0.2963746129
581	0.2962487107
582	0.2961386161
583	0.2960143074
584	0.2959335465
585	0.2958501249
586	0.2957338761
587	0.2956263097
588	0.2954980423
589	0.2953459736
590	0.2952429059
591	0.2951093418
592	0.2950084725
593	0.2949014087
594	0.2947018889
595	0.2946351234
596	0.2945558633
597	0.2944271304
598	0.2943174335
599	0.2942313659
600	0.2941308703
601	0.2940480911
602	0.2939399164
603	0.293837904
604	0.2937558814
605	0.2936242254
606	0.2935029114
607	0.2934058846
608	0.2933448887
609	0.2932301234
610	0.2931607798
611	0.2930360042
612	0.292913157
613	0.2927725005
614	0.292687131
615	0.2925794773
616	0.2924710113
617	0.2923322353
618	0.2921988948
619	0.2921035968
620	0.2919396984
621	0.2918389857
622	0.2917131438
623	0.2915653416
624	0.2914420435
625	0.2913579975
626	0.2912223103
627	0.2911259477
628	0.2910666928
629	0.2909376765
630	0.2908316266
631	0.2907245297
632	0.2906346424
633	0.2904938858
634	0.2904297664
635	0.2903439269
636	0.2902735316
637	0.2902153888
638	0.290118705
639	0.2899958578
640	0.2898869572
641	0.2897892921
642	0.2897007806
643	0.2896110788
644	0.2894958206
645	0.2894058525
646	0.2893011418
647	0.2891660582
648	0.2890924924
649	0.2889812654
650	0.2888967663
651	0.288795232
652	0.2887174938
653	0.2886192708
654	0.2884906771
655	0.2883861305
656	0.2882974511
657	0.2881591685
658	0.2880639976
659	0.2879897326
660	0.2879343216
661	0.2878612765
662	0.2877781585
663	0.2876827243
664	0.287565146
665	0.28748947
666	0.2873945143
667	0.2872707217
668	0.2871874382
669	0.2871043384
670	0.2869882609
671	0.2869066024
672	0.2868394944
673	0.2867419249
674	0.2867010881
675	0.2866382609
676	0.2865704469
677	0.2864818456
678	0.2863967473
679	0.2863295053
680	0.286232139
681	0.2861321921
682	0.2859982489
683	0.285879139
684	0.285823701
685	0.2856737425
686	0.2855671048
687	0.2854915118
688	0.2853991907
689	0.2852728481
690	0.2851676412
691	0.2851234163
692	0.285026478
693	0.2849671292
694	0.2848663497
695	0.284753776
696	0.284685868
697	0.284588454
698	0.2845150548
699	0.2844559042
700	0.2843609198
701	0.2843009953
702	0.2842045477
703	0.2841359901
704	0.2840101027
705	0.283912302
706	0.2838048619
707	0.283725844
708	0.2836573865
709	0.2835724083
710	0.2834914278
711	0.2833903258
712	0.2833138806
713	0.2832113891
714	0.2831570956
715	0.2830679327
716	0.2829540653
717	0.2828733074
718	0.2828086761
719	0.2827325327
720	0.2826808934
721	0.2825792665
722	0.2825185453
723	0.2824686724
724	0.2823751866
725	0.2823028954
726	0.2822075547
727	0.2821371328
728	0.2820250408
729	0.2819240415
730	0.281866982
731	0.2817652671
732	0.2816641155
733	0.2815663244
734	0.281422657
735	0.2813153313
736	0.2812215531
737	0.2811345547
738	0.281039798
739	0.2809384389
740	0.2808843165
741	0.2807883711
742	0.2807102623
743	0.2806459673
744	0.2805779953
745	0.2804840981
746	0.280424812
747	0.2803438864
748	0.2802616128
749	0.2801572337
750	0.2801037555
751	0.2800438339
752	0.2799616663
753	0.2799041891
754	0.2798152264
755	0.2797113323
756	0.2796159273
757	0.2795255459
758	0.2794534828
759	0.2794061628
760	0.2792881041
761	0.2792176873
762	0.2791648661
763	0.2790941115
764	0.2790157852
765	0.278899652
766	0.278792851
767	0.2787190889
768	0.2786649908
769	0.2785734832
770	0.278475188
771	0.2784073996
772	0.2783166521
773	0.2782697373
774	0.278194376
775	0.2781059308
776	0.2780124876
777	0.2779096009
778	0.2778239919
779	0.2777288409
780	0.2776563982
781	0.277568905
782	0.2774950894
783	0.2774550399
784	0.277398774
785	0.277306546
786	0.2771949397
787	0.2771204614
788	0.277013563
789	0.2769630706
790	0.2768325659
791	0.2767563998
792	0.2767061857
793	0.2766228601
794	0.2765117183
795	0.2764363924
796	0.2763735698
797	0.2763081082
798	0.2761826648
799	0.2761219416
800	0.276030401
801	0.2759401805
802	0.2758604929
803	0.275789877
804	0.2756962327
805	0.2756263892
806	0.2755381354
807	0.275453425
808	0.2753214456
809	0.2752016124
810	0.2751032399
811	0.2750061625
812	0.2749453822
813	0.2748450214
814	0.2747527785
815	0.2746437422
816	0.2745358397
817	0.2744610478
818	0.2743882604
819	0.2743214996
820	0.2742242657
821	0.2741508052
822	0.274078667
823	0.2740139751
824	0.2739655637
825	0.2739206851
826	0.2738386919
827	0.2737626388
828	0.2736923194
829	0.2736232956
830	0.2735281645
831	0.2734722904
832	0.2734029794
833	0.273347907
834	0.2732886618
835	0.2732021742
836	0.2731464279
837	0.2730702641
838	0.2729722991
839	0.2728877802
840	0.2728252092
841	0.2727690402
842	0.2727395156
843	0.2726879932
844	0.2726124028
845	0.2725845354
846	0.2724702744
847	0.2723998402
848	0.2723286661
849	0.2722209427
850	0.2721632382
851	0.2721111875
852	0.2720043286
853	0.2719318999
854	0.2718763305
855	0.2717853222
856	0.2717582254
857	0.2717247424
858	0.2716461272
859	0.2715946299
860	0.2715216746
861	0.2714544499
862	0.2713462245
863	0.2712355936
864	0.2711483677
865	0.2710902646
866	0.2710358239
867	0.270978302
868	0.2709413963
869	0.2708756715
870	0.2708129526
871	0.2707294762
872	0.2706569869
873	0.2705934269
874	0.2705556149
875	0.2704638585
876	0.2704038378
877	0.270332847
878	0.2702892945
879	0.2702333144
880	0.27020578
881	0.2701317628
882	0.2700519646
883	0.2699965684
884	0.2699247866
885	0.2698970195
886	0.2698360063
887	0.269776595
888	0.269691713
889	0.2696077889
890	0.269541823
891	0.2694735824
892	0.2694231275
893	0.2693215097
894	0.2692532488
895	0.2691753363
896	0.2691193674
897	0.2690309556
898	0.2689592568
899	0.2689274651
900	0.2688614739
901	0.2687962716
902	0.2686846622
903	0.268625301
904	0.2685643118
905	0.2685121101
906	0.2684451054
907	0.2683695227
908	0.2683390633
909	0.2683145515
910	0.2682364316
911	0.268157502
912	0.2681126604
913	0.2680785062
914	0.2680346749
915	0.2680034306
916	0.2679265145
917	0.2678308065
918	0.267763418
919	0.2677137493
920	0.2676173918
921	0.2675375463
922	0.2675013674
923	0.2674091553
924	0.2673470413
925	0.267322799
926	0.2672477978
927	0.2671931375
928	0.2671477052
929	0.2671061191
930	0.2670509653
931	0.267002795
932	0.2669600187
933	0.2668940061
934	0.2668230908
935	0.2667591521
936	0.266729687
937	0.2666412982
938	0.2665810778
939	0.2664886167
940	0.2664236711
941	0.2663562748
942	0.2662994866
943	0.2662402996
944	0.2661241196
945	0.2660856314
946	0.266044612
947	0.2659864111
948	0.2659199512
949	0.2658450549
950	0.2658142663
951	0.2657474036
952	0.2656866363
953	0.2656330063
954	0.2655546212
955	0.2655285969
956	0.265460216
957	0.2654204301
958	0.2653598617
959	0.2652990492
960	0.2652555454
961	0.265181111
962	0.2650955508
963	0.2649994082
964	0.2648987985
965	0.2648521428
966	0.2647965859
967	0.264735011
968	0.2646873601
969	0.264618731
970	0.2645424565
